"118","中華基督教會基法幼稚園","九龍觀塘月華街34號地下下層3至5樓","http://kfk.ccc.edu.hk"
"119","中華基督教會基華幼稚園","九龍觀塘啟業邨啟寧樓地下G1-G14室","http://kwk.ccc.edu.hk"
"120","中華基督教會望覺堂賢貞幼稚園","九龍旺角弼街56號望覺基督教大樓地下及1樓","http://mkcjk.ccc.edu.hk"
"121","中華基督教會沙田堂博康幼稚園","新界沙田博康邨博文樓地下14號,20-31號","http://www.stcphk.edu.hk"
"122","中華基督教會屯門堂幼稚園","新界屯門井財街29號地下","http://tmckns.ccc.edu.hk"
"123","幼聯主辦安泰幼兒學校","新界天水圍天盛苑天盛商場附翼地下","http://www.ceces-aetna.edu.hk"
"124","基督教家庭服務中心趣樂幼稚園","九龍觀塘翠屏道3號3樓","http://www.cheerland.edu.hk/"
"125","路德會陳恩美幼兒園","香港長洲大菜園路150號A地下樓","http://www.chanenmeilutheran.org"
"126","路德會陳蒙恩幼稚園","九龍觀塘秀茂坪曉麗苑曉安閣(E座)地下","http://www.cmyl.edu.hk/"
"127","智樂幼稚園","九龍深水埗南昌街72號兆昌大廈1樓A,B及C舖","--"
"128","卓基英文學校暨幼稚園","香港堅尼地城西環邨東苑台地下及閣樓KG01號舖","http://www.cherish.edu.hk"
"129","長洲聖心幼稚園","新界長洲東灣","http://www.ccshkg.edu.hk"
"130","路德會長青幼兒園","新界青衣長青邨青葵樓3樓309至314","http://cheungching-nursery.hklss.hk"
"131","長沙灣街坊福利會林譚燕華幼稚園","九龍長沙灣麗閣邨麗葵樓3樓310-316室","http://www.lamtyw.edu.hk"
"132","神召會華人同工聯會彩蒲幼稚園","新界上水彩蒲苑停車場大廈地下","http://www.choipokg.edu.hk"
"133","神召會華人同工聯會景盛幼稚園","新界粉嶺景盛苑歡景閣地下","http://www.kingshingkg.edu.hk"
"135","漢基國際學校","香港東區寶馬山道校園徑1號","--"
"136","中華基督教青年會上水幼稚園","新界上水清河邨清潤樓地下B翼","http://www.ymca.org.hk"
"137","中華基督教青年會幼稚園","新界天水圍天悅邨服務設施大樓2樓","http://www.ymca.org.hk"
"138","中華基督教青年會葵涌幼稚園","新界葵涌邨葵涌商場3樓平台3號","http://www.ymca.org.hk"
"139","青松興東幼稚園","香港筲箕灣興東邨興祖樓地下","http://www.cckght.edu.hk"
"140","青松湖景幼稚園","新界屯門湖景邨低層地下湖光樓(第2座)","http://www.ccwkk.edu.hk"
"141","肖霞幼稚園","九龍慈雲山慈愛苑第3期屋苑辦事處大樓地下","http://www.stteresakg.edu.hk"
"142","潮陽幼稚園","香港上環德輔道西38號2字樓A室","http://www.cyk.edu.hk"
"143","天主教彩霞邨潔心幼稚園","九龍觀塘牛頭角彩霞邨停車場平台4號","http://www.sihm.org.hk"
"144","卓思英文學校暨幼稚園（青怡分校）","新界青衣青怡花園第1座地下及1樓","http://www.choicekinder.net"
"145","基督徒信望愛堂華明幼稚園","新界粉嶺華明邨第2期第7座","http://www.fhlwmkg.edu.hk"
"146","基督徒信望愛堂逸東幼稚園","新界東涌逸東商場3字樓6號幼稚園校舍","http://www.yatungkg.edu.hk"
"147","基督教宣道會太和幼稚園","新界大埔太和邨新和樓地下","http://www.cmtwkg.edu.hk"
"148","基督堂幼稚園","九龍九龍塘志士達道5號3-5樓","http://www.cckg.edu.hk"
"149","基督教宣道會大澳幼稚園","新界大嶼山大澳永安街81、83A及83B號","http://www.cmataiokg.org"
"150","基督教安得兒幼稚園","新界荃灣麗城花園第1期1座閣樓","http://www.christianadrianne.edu.hk"
"151","宣道會雷蔡群樂幼稚園","九龍深水埗元州邨元盛樓地下","http://www.calcklkg.edu.hk"
"152","宣道會陳李詠貞紀念幼稚園","新界天水圍天耀邨耀昌樓地下A及B翼","http://www.caclwtmk.edu.hk"
"153","宣道會劉平齋紀念國際學校","九龍九龍城富寧街２號","http://www.cais.edu.hk"
"154","基督教佈道中心樂富幼稚園","九龍樂富樂富邨第5期樂謙樓地下","http://www.lokfukg.edu.hk"
"155","基督教家庭服務中心德田幼稚園","九龍藍田康雅苑停車場頂樓","http://www.taktinur.edu.hk/"
"156","基督教小天使（錦豐）幼稚園","新界沙田馬鞍山錦豐苑錦蕙閣地下","http://www.clakkf.edu.hk"
"157","基督教小天使（麗晶）幼稚園","九龍宏光道80號麗晶花園第21-22座地下C2號","http://www.clakrg.edu.hk"
"158","基督教小樹苗幼稚園","九龍牛頭角彩盈邨盈樂樓地下","http://www.littletree.edu.hk"
"159","基督教中心幼稚園","九龍九龍塘窩打老道103號地下","http://www.cyckg.edu.hk"
"160","全完堂幼稚園","新界荃灣大屋街2至4號地下","http://www.cychurch.edu.hk"
"161","基督教宣道會茵怡幼稚園","新界將軍澳貿泰路8號茵怡花園第7座平台1樓","http://www.cmvkg.edu.hk"
"162","中華傳道會基石幼稚園","九龍秀茂坪秀茂坪三邨秀康樓地下樓","http://www.cnecckg.edu.hk"
"163","啟思幼兒園（匯景）","九龍藍田茜發道匯景花園1樓","http://www.creative.edu.hk"
"164","啟思幼稚園","九龍九龍塘律倫街6號地下","http://www.creative.edu.hk"
"165","啓思幼稚園（愛琴）","新界屯門掃管笏段管青路2號愛琴海岸1樓平台","http://www.creative.edu.hk"
"166","啟思幼稚園（帝堡城）","新界沙田小瀝源路69號帝堡城L5幼稚園校舍","http://www.creative.edu.hk"
"167","啟思幼稚園﹝杏花邨﹞","香港杏花邨盛泰道100號幼稚園B","http://www.creative.edu.hk/"
"168","啓思幼稚園（馬灣）","新界馬灣珀麗道8號","http://www.creative.edu.hk"
"169","啟思幼稚園（匯景花園）","九龍藍田茜發道匯景花園","http://www.creative.edu.hk"
"170","啟思幼稚園（深灣軒）","香港鴨脷洲鴨脷洲徑3號深灣軒地下","http://www.creative.edu.hk"
"171","啟思幼稚園（青衣）","新界青衣寮肚路3號曉峰園平台","http://www.creative.edu.hk"
"172","啟思幼稚園（屯門分校）","新界屯門5A河興街大興花園2期地下","http://www.creative.edu.hk"
"175","啓思小學附屬幼稚園","九龍九龍塘牛津道２Ａ號地下及一樓","http://www.cpskg.edu.hk"
"176","躍思（栢蕙）幼稚園","香港鰂魚涌基利路栢蕙苑地下","http://www.creativity.edu.hk"
"177","躍思（大欖）幼稚園","新界屯門大欖涌胡屋村61號","http://www.creativity.edu.hk"
"178","香港中文大學校友會聯會陳震夏幼稚園","新界天水圍天恩邨天恩商場頂層1號幼稚園","http://www.cchk.edu.hk"
"179","香港中文大學校友會聯會張煊昌幼稚園","新界沙田馬鞍山錦英苑","http://www.cuhkfaatckg.edu.hk"
"180","金巴崙長老會青草地幼稚園","新界大嶼山東涌富東邨富東廣場 2 樓","http://www.gpkg.edu.hk"
"181","柴灣浸信會學前教育中心呂明才幼稚園","香港柴灣翡翠道30號1樓及4樓天台","http://www.cwbc.org.hk"
"182","柴灣浸信會學前教育中心呂明才幼稚園 (小西灣)","香港柴灣小西灣邨瑞富樓地下1-10號","http://www.cwbc.edu.hk"
"183","大衛（出埃及）幼稚園","新界大圍顯泰街瑞峰花園平台","http://www.davidexodus.edu.hk"
"184","牽晴間培元英文幼稚園","新界粉嶺一鳴路23號牽晴間購物廣場地下G22-24號","http://www.elementiedu.org"
"185","德寶中英文幼稚園(黃埔花園)","九龍紅磡黃埔花園第2期平台1樓","http://www.deborah-intl.edu.hk"
"186","德寶英文幼稚園(寶盈花園)","新界將軍澳唐俊街１１號寶盈花園幼稚園大樓","http://www.deborah-intl.edu.hk"
"187","德寶英文幼稚園（將軍澳）","新界將軍澳唐俊街１１號寶盈花園幼稚園大樓","http://www.deborah-intl.edu.hk"
"188","德寶國際幼兒學校（寶盈花園）","新界將軍澳唐俊街11號寶盈花園幼稚園大樓地下","http://www.deborah-intl.edu.hk"
"189","德寶國際幼兒學校（第七期）","九龍紅磡黃埔花園第7期地下","http://www.deborah-intl.edu.hk"
"190","德寶國際幼兒學校（將軍澳）","新界將軍澳唐明街1號富康花園幼稚園大樓地下","http://www.deborah-intl.edu.hk"
"191","德寶國際幼兒學校","九龍紅磡黃埔花園第9期5號5B號舖地下","http://www.deborah-intl.edu.hk"
"192","地利亞英文小學暨幼稚園","九龍美孚新邨百老匯街84至86號 及第8期138號舖","http://www.deliapri-kg.edu.hk"
"194","鑽石山浸信會美欣幼稚園","九龍坪石邨黃石樓地下104-105及109-116室","http://www.dhbcbbkg.edu.hk"
"195","鑽石山靈糧幼稚園","九龍鑽石山龍蟠街3號星河明居平台2樓","http://www.lingliang.org.hk"
"196","DISCOVERY BAY INTERNATIONAL SCHOOL","新界大嶼山愉景灣","http://www.dbis.edu.hk"
"197","愉景方方樂趣幼稚園","新界荃灣愉景新城商場第１層２號舖","http://www.funful.hk"
"198","弘志幼稚園","新界大嶼山愉景灣碧濤軒2-16號地下遊艇灣商場401號舖","http://www.dmk.edu.hk"
"199","弘志幼稚園〈分校〉","香港大嶼山愉景灣廣場徑8號愉景灣廣場1樓139B號商舖","http://www.discoverymind.edu.hk"
"200","弘志幼稚園（東涌）","新界東涌東涌海濱路8號海堤灣畔商場地下","http://www.discoverymind.edu.hk"
"201","明我幼稚園","香港筲箕灣海寧街3號1樓及西灣河街96號1樓及2樓A、B及D室","http://www.dominicsaviokg.org/"
"202","明我幼稚園（奧運校）","九龍旺角西海富苑海韻閣地下01-09室","http://www.dominicsaviokg.org"
"203","基督教中國佈道會恩恩創意幼稚園","九龍慈雲山慈康邨","http://www.ecfbck.edu.hk"
"204","基督教香港信義會基恩幼兒學校","香港高街2號西營盤社區綜合大樓3樓","http://www.elchk.org.hk/service"
"205","基督教香港信義會頌安幼兒學校","新界馬鞍山錦豐苑錦蘭閣A及B翼地下","http://www.elchk.org.hk/service/unit_service2.php"
"206","基督教香港信義會天恩幼兒學校","新界葵涌葵盛圍364號馮鎰社會服務大樓地下","http://www.gns.elchk.org.hk"
"207","基督教香港信義會興華幼兒學校","香港柴灣興華一邨美華樓地下樓","http://hwns.elchk.org.hk"
"208","基督教香港信義會健明幼兒學校","新界將軍澳健明邨明星樓B及C翼地下","http://kmns.elchk.org.hk"
"209","基督教香港信義會靈工幼兒學校","新界青衣青衣邨宜居樓A翼地下","http://www.elchk.org.hk/service/unit/11/"
"210","基督教香港信義會靈安幼兒學校","九龍藍田啟田道71號藍田(西區)社區中心6樓","http://www.elchk.org.hk/service/"
"211","基督教香港信義會南昌幼稚園","九龍深水埗南昌邨第1座昌頌樓地下","http://www.elchkkg.edu.hk/nam-cheong/"
"212","基督教香港信義會沙田信義幼稚園","新界沙田大圍銅鑼灣山路1號","http://www.stlkg.edu.hk"
"213","基督教香港信義會將軍澳幼稚園","新界將軍澳唐明苑唐富閣地下B及C翼","http://www.elchktkokg.edu.hk"
"214","沙田靈光幼兒學校","新界沙田廣源邨廣柏樓地下","http://www.ecsdn.edu.hk"
"215","怡寶中英文幼稚園","香港北角英皇道955-957號惠芳閣2-3樓A-B室","http://www.epochkg.edu.hk"
"216","循道衛理聯合教會愛華村堂幼稚園","香港柴灣柴灣道100號1樓","http://www.kiepw.methodist.org.hk"
"217","英基雅柏國際幼稚園","新界西貢清水灣道孟公屋村","http://kindergartens.esf.org.hk"
"218","英基國際幼稚園（青衣）","新界青衣青敬路33號地下及閣樓","http://www.esfkindergartens.org.hk/"
"220","英基國際幼稚園（烏溪沙）","新界沙田馬鞍山西沙路599號L1","http://www.wks.esf.org.hk"
"221","基督教香港信義會祥華幼稚園","新界粉嶺祥華邨祥豐樓地下101－108室及113－115室","http://www.elchkkg.edu.hk/cheungwah/movie.php"
"222","基督教香港信義會祥華幼稚園","新界粉嶺祥華邨祥裕樓地下102-107室","http://www.elchkkg.edu.hk/cheungwah/movie.php"
"223","深信堂幼稚園","九龍深水埗培德街8號3樓","http://flckg.edu.hk"
"224","基督教粉嶺神召會恩光幼稚園","新界粉嶺景盛苑賢景閣地下B及C翼","http://www.gracelight.edu.hk"
"225","粉嶺浸信會呂明才幼稚園","粉嶺沙頭角道3號","http://fbclmckg.edu.hk"
"226","飛雁幼稚園","九龍藍田康逸苑停車場頂層","http://www.fnkg.edu.hk"
"227","神召會禮拜堂天澤幼兒園","新界天水圍天澤邨澤辰樓B及C翼地下","http://tcn.faog.org.hk"
"228","神召第一小學暨幼稚園","九龍九龍城亞皆老街123號","http://kg.faog.org.hk"
"229","五邑工商總會張祝珊幼稚園","九龍鑽石山龍蟠苑商場第5層109室","http://www.ccsn.edu.hk"
"230","五邑工商總會幼稚園","九龍橫頭磡邨宏澤樓地下","http://www.fdkg.edu.hk"
"231","循理會白普理循理幼兒學校","新界馬鞍山耀安邨耀和樓2樓4-9號","http://www.cln.fmchk.org"
"232","福來邨錦全幼稚園","新界荃灣福來邨永康樓地下","http://www.kamchuenkg.com/"
"233","富亨浸信會呂郭碧鳳幼稚園","新界大埔富亨邨亨泰樓1座地下","http://www.fuhengkg.edu.hk"
"234","嘉德麗幼稚園（富山）","九龍黃大仙蒲崗村道富山邨富信樓4號地下樓","http://www.catiline.edu.hk"
"235","路德會富泰幼兒園","新界屯門富泰邨愛泰樓地下","http://www.futailutheran.org"
"236","富瑤幼稚園","新界葵涌麗瑤邨富瑤樓西南及北翼地下","http://www.fuyiukg.net76.net"
"237","方方樂趣幼稚園","九龍太子道266號地下","http://www.funful.hk"
"238","鳳溪幼稚園","新界上水馬會道21號","http://www.fkkg.fungkai.edu.hk"
"241","花園大廈浸信會幼兒學校","九龍觀塘牛頭角道297號花園大廈玉蓮台2座2樓37室","http://www.gebns.edu.hk"
"242","GARDEN HOUSE KINDERGARTEN","新界清水灣銀線灣道7號銀線灣商場地下","http://www.gardenhouse.edu.hk"
"245","GERMAN SWISS INTERNATIONAL SCHOOL","香港薄扶林道162號","http://www.gsis.edu.hk"
"246","激活幼稚園","新界天水圍天龍路9號嘉湖山莊美湖居B座","http://www.gigamind.edu.hk"
"248","康傑中英文幼稚園（鴨脷洲）","香港鴨脷洲海怡半島第1期第4座平台第1層","http://www.good-health.edu.hk"
"250","康傑中英文幼稚園（青衣）","新界青衣青敬路77號海悅花園商場2樓","http://good-health.edu.hk"
"251","康傑中英文幼稚園（馬鞍山）","新界沙田馬鞍山馬鞍台富寶花園","http://www.good-health.edu.hk"
"252","康傑幼稚園〈馬鞍山〉","新界沙田馬鞍山富寶花園馬鞍台1樓","http://www.good-health.edu.hk"
"254","好時光幼稚園(彩蒲仙)","九龍新蒲崗仁愛街18-24號1字樓A-D座","http://www.gtcps.edu.hk"
"255","好時光幼兒學校（粉嶺中心）","新界粉嶺新運路33號粉嶺中心第1期A及B座地下","http://www.goodtime.edu.hk"
"258","好時光幼兒學校（沙田廣場）","新界沙田沙田廣場C及D座平台花園","http://www.goodtime.edu.hk"
